OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,FIRE_TYPE,IRWINID,MAP_ID,MAP_PROG,ASMNT_TYPE,IG_DATE,PRE_ID,POST_ID,PERIM_ID,DNBR_OFFST,DNBR_STDDV,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,COMMENTS,LATITUDE,LONGITUDE,SHAPEAREA,SHAPELEN
20738,23341,AK6130716321820150623,IZAVLKNEK RIVER,2015,6,23,Wildfire,4E858BD7-1F26-4695-A822-4B081186826C,26287,MTBS,Extended,20150623,807801720140604,807701720160602,,-25,8,-970,-150,50,205,400,,61.269,-163.212,0.015800799029616,1.4060720653473
20739,31489,AK6131915985520150624,OPHIR CREEK,2015,6,24,Wildfire,A3A71744-F6CE-47BC-B776-EB3012E5CEC8,26269,MTBS,Extended,20150624,807501720150618,807601720160713,,-55,27,-970,-150,10,234,480,,61.301,-159.803,0.0213422089692857,1.72011810785301
20740,70232,AK6133716252320150622,KUKA CREEK 4,2015,6,22,Wildfire,24B811DF-9A50-49DE-8EBE-C910882CCA1F,26292,MTBS,Extended,20150622,807801720140604,807701720160602,,-15,26,-970,-150,30,209,420,,61.278,-162.765,0.0475673551893571,3.55584107287351
20741,12243,AK6136115580720150621,KUTOKBUNA LAKE,2015,6,21,Wildfire,562034AD-1702-4A69-B3AD-BE5ED68D889E,26316,MTBS,Extended,20150621,807301720150620,807201720160615,,34,14,-970,-150,50,297,570,,61.37,-155.809,0.00831450790038641,0.978461316599815
20742,70979,AK6138116038420150601,WHITEFISH LAKE 1,2015,6,1,Wildfire,288CC4F6-A4A0-473F-ADA4-BCCCB2C9802B,26279,MTBS,Extended,20150601,807601720140926,807601720160830,,-75,25,-970,-150,10,191,400,,61.348,-160.304,0.0481820046280107,2.8592108332954
20743,2303,AK6147815785720150620,OSKAWALIK RIVER,2015,6,20,Wildfire,57CA98B8-2184-4080-B446-FDC47212DBF6,26312,MTBS,Extended,20150620,807501720150618,807301720160606,,26,12,-970,-150,50,286,550,,61.462,-157.862,0.00156892248236528,0.307215010959608
20744,46360,AK6149815578120150620,WHY LAKE,2015,6,20,Wildfire,CEE1E9AA-5ACC-4A17-8D6A-2A0D1F9608A2,26322,MTBS,Extended,20150620,507201720110720,807201720160615,,14,27,-970,-150,70,288,540,,61.496,-155.916,0.0316086219620726,2.21226387397484
20745,1138,AK6159015666120150621,BASKET CREEK #2,2015,6,21,Wildfire,228D787B-2C4F-4709-A0D0-C55ADA5B0BEE,26320,MTBS,Extended,20150621,807301720130614,807301720160606,,-80,12,-970,-150,10,217,450,,61.584,-156.655,0.000778130473437836,0.204831290466349
20746,2982,AK6164015926820150623,MISSION CREEK,2015,6,23,Wildfire,2AA4D719-1F6A-4097-8B97-339A8D8C85FE,26267,MTBS,Extended,20150623,807501720150618,807601720160627,,-55,11,-970,-150,40,250,490,,61.627,-159.249,0.00204223587554314,0.462607804393026
20747,57410,AK6165415966120150623,NORTH ANIAK,2015,6,23,Wildfire,77156B17-0ECB-4EB3-BF26-DF7282A296EE,26268,MTBS,Extended,20150623,807501720150618,807601720160713,,-25,12,-970,-150,20,254,510,,61.651,-159.635,0.0393360065789614,2.04444963362992
20748,40921,AK6180015953320150624,OWHAT RIVER,2015,6,24,Wildfire,EFAD3284-EDDF-43D5-85A8-7995764B733F,26276,MTBS,Extended,20150624,807501720150618,807601720160713,,-36,12,-970,-150,10,244,500,,61.841,-159.483,0.0282068951681941,1.87573746949301
20749,6538,AK6184515008520150614,SOCKEYE,2015,6,14,Wildfire,DC792783-D4A7-40C1-A230-4689DAD60CB2,26164,MTBS,Extended,20150614,806901720140605,806901720160712,806901720150624,-76,17,-970,-160,60,290,550,,61.797,-150.108,0.00450179972069043,0.880314659080926
20750,16711,AK6185815828420150621,VILLAGE CREEK,2015,6,21,Wildfire,EE3BFBD2-E617-48C7-8598-D42F146920FE,26306,MTBS,Extended,20150621,807401720140726,707501720160714,,-44,21,-970,-150,20,254,510,,61.802,-158.24,0.0115057543123783,1.54692372813515
20751,11697,AK6194115897320150621,QUINN CREEK,2015,6,21,Wildfire,7869680E-64C5-4B80-9451-64B46813C5F1,26275,MTBS,Extended,20150621,807601720140926,807601720160830,,-3,16,-970,-150,50,281,540,,61.952,-158.941,0.00809521629552524,1.45602357631085
20752,45239,AK6221716090020150625,STUYAHOK RIVER,2015,6,25,Wildfire,3BCDA6E0-8714-4985-AEBA-BF99BA4673BD,26364,MTBS,Extended,20150625,807601620130619,807601620160713,707601620150804,-48,13,-970,-150,40,293,570,,62.251,-160.75,0.0316190892814747,2.26168552992333
20753,3453,AK6222115659020150622,LITTLE SOUTH FORK,2015,6,22,Wildfire,F780EA48-3903-44E4-9CF1-385EF63262FF,26390,MTBS,Extended,20150622,807401620140523,807401620160528,,-33,37,-970,-150,20,237,480,,62.218,-156.555,0.00241026989436658,0.3577348882565
20754,15423,AK6228315871720150620,REINDEER RIVER,2015,6,20,Wildfire,A9955151-56E8-4A32-8755-BB4F1E3BDF70,26330,MTBS,Extended,20150620,807501620130916,807501620160908,,-23,15,-970,-150,20,254,510,Burn scar to the W is 2016 fire and not included.,62.276,-158.653,0.0107850223203879,1.29630064509998
20755,15566,AK6239116102520150625,HAWK RIVER,2015,6,25,Wildfire,E4549611-F86C-4A77-B636-9F49489681AC,26356,MTBS,Extended,20150625,807701620130626,807701620160704,807701620150803,2,12,-970,-150,50,324,620,,62.367,-160.965,0.0109185002693057,1.14523731021905
20756,47611,AK6246315841120150623,LOWER REINDEER PEAK,2015,6,23,Wildfire,61F00EAE-62DE-47EC-BC68-FCB15B14D746,26331,MTBS,Extended,20150623,807501620130916,807501620160908,,-24,18,-970,-150,20,248,500,,62.481,-158.334,0.033511313791673,1.88624362689376
20757,37941,AK6246414163320150609,CHISANA RIVER  2,2015,6,9,Wildfire,8469AC84-7174-4B0E-B1CA-07BA542090DB,26096,MTBS,Extended,20150609,806401620140821,806401620160709,806401620150808,17,32,-970,-150,50,292,560,,62.487,-141.654,0.0267143688507643,1.93272574887206
20758,4335,AK6252015747620150624,LITTLE MONTANA CREEK,2015,6,24,Wildfire,402F3FAC-9BC1-4850-B0E7-D4977EEDD50A,26358,MTBS,Extended,20150624,807501620150602,807401620160528,,59,17,-970,-150,80,308,570,,62.519,-157.399,0.00305693052266617,0.857295402813281
20759,60898,AK6259815802820150620,IDITAROD RIVER,2015,6,20,Wildfire,6088932C-D68C-420C-AF17-CB1A3C4C035F,26329,MTBS,Extended,20150620,807501620130916,807501620160908,,-34,20,-970,-150,20,248,500,,62.549,-158.022,0.0429855334156501,2.6555132888212
20760,33691,AK6262415759820150620,HICKEY CREEK,2015,6,20,Wildfire,E01765FF-1673-4A82-8BD5-277406D73E86,26357,MTBS,Extended,20150620,807501620150602,807401620160528,,45,14,-970,-150,60,312,590,,62.6,-157.588,0.0238197706920185,1.81650679676473
20761,10827,AK6277415728220150622,MAYBE CREEK,2015,6,22,Wildfire,95E7DFF7-5F61-459C-9C98-B680DF9A2E37,26354,MTBS,Extended,20150622,807501620150602,807401620160528,,45,14,-970,-150,70,299,560,,62.768,-157.275,0.00769644373179997,0.759268254194961
20762,33076,AK6284115342020150626,DEEPBANK CREEK,2015,6,26,Wildfire,069C30F4-9984-4819-A0A1-C08BD579A152,26359,MTBS,Extended,20150626,807101620140705,807201620160615,,-12,12,-970,-150,50,265,510,,62.886,-153.512,0.0236041977615827,1.48847352639857
20763,27670,AK6295814188120150621,LONG LAKE,2015,6,21,Wildfire,4C518344-6DE7-414A-8DDD-CBAF91A73979,26098,MTBS,Extended,20150621,806401620140821,806401620160709,806401620150808,48,27,-970,-150,50,302,580,,62.882,-141.86,0.0197436403746417,2.15483008346665
20764,7656,AK6296815936720150603,INNOKO RIVER,2015,6,3,Wildfire,467F4006-84D5-4869-BBD9-EFC4D2C12561,26365,MTBS,Extended,20150603,807601620130619,807601620160713,707601620150804,-54,20,-970,-150,30,284,560,,63.002,-159.392,0.00548423536635506,0.873043138538303
20765,14058,AK6303316298320150621,APOON,2015,6,21,Wildfire,754CA1B0-59BF-412F-BDB5-B3875D1F1B1D,26291,MTBS,Extended,20150621,807801620140620,807801620160625,807801620150623,-57,17,-970,-150,40,300,9999,,63.03,-162.955,0.0100830263351817,0.956426685351787
20766,3711,AK6306115303320150706,DENNIS,2015,7,6,Wildfire,C1C2F4CD-57EA-4E8B-885B-9401412F1638,26360,MTBS,Extended,20150706,807101620140705,807201620160615,,-16,12,-970,-150,50,297,570,,63.082,-153.043,0.00266676757961248,0.414626149779285
20767,3244,AK6312615668620150626,BEAVER CREEK,2015,6,26,Wildfire,FF6B89EE-F073-4FB4-841B-71566DC6350A,26353,MTBS,Extended,20150626,807301620140804,807301620160622,,39,21,-970,-150,70,310,580,,63.122,-156.668,0.00233440304985778,0.454304149554657
20768,2065,AK6315715593220150625,JOHN REEK CREEK 3,2015,6,25,Wildfire,CEA0BDDA-FCFB-4CFF-A24D-C6C6F02ED94C,26348,MTBS,Extended,20150625,807401620130824,807401620160816,,-7,17,-970,-150,50,292,560,Includes AK6311615591720150625  JOHN REEK CREEK 2 fire.,63.145,-155.909,0.00148822311427188,0.396000642680918
20769,3043,AK6316215681120150624,AMERICAN CREEK,2015,6,24,Wildfire,911E12C8-848B-44A2-A288-5422A5E40636,26351,MTBS,Extended,20150624,807301620140804,807301620160622,,26,22,-970,-150,50,324,620,,63.156,-156.791,0.00219229776548232,0.412889293130368
20770,16287,AK6316815419220150624,NORTH FORK FLATS,2015,6,24,Wildfire,148C324D-3293-4AC8-961C-398CC751AB14,26344,MTBS,Extended,20150624,807301620150620,807201620160615,,48,18,-970,-150,60,333,630,,63.177,-154.116,0.0117364834644289,1.19208644264334
20771,1873,AK6318714295920150621,TETLIN HILLS,2015,6,21,Wildfire,878485AD-9295-43AB-B285-0347B304F739,26105,MTBS,Extended,20150621,806501620140812,806501620160801,806501620150815,23,28,-970,-150,50,335,640,,63.176,-142.961,0.00135077678065855,0.343715104643313
20772,7772,AK6325016133320150621,GOLSOVIA 3,2015,6,21,Wildfire,4AFC3D1B-F292-474A-8B9B-F94E2B21B91C,26350,MTBS,Extended,20150621,807701620130626,807701620160704,807701620150803,-68,19,-970,-150,40,256,500,,63.223,-161.326,0.00561264803009542,0.551271816304888
20773,3563,AK6328315440020150624,SCOW HARRY # 2,2015,6,24,Wildfire,FF40061A-E539-4044-B226-E5EF2B6E7030,26347,MTBS,Extended,20150624,807301620150620,807201620160615,,30,14,-970,-150,70,348,650,,63.291,-154.395,0.00257920041177558,0.623230529434945
20774,1306,AK6330715560720150623,AGATE FORK SUSULATNA RIVER,2015,6,23,Wildfire,2A106E02-186D-4AAA-A568-ED861C9A47A7,26349,MTBS,Extended,20150623,807301620140804,807301620160622,,68,14,-970,-150,80,346,640,,63.311,-155.596,0.000945795319885512,0.319467753287325
20775,31132,AK6333316155020150621,SISTERS,2015,6,21,Wildfire,FBAB3CDC-2449-4EA3-9605-9D444674550D,26352,MTBS,Extended,20150621,807701620130626,807701620160704,807701620150803,-54,33,-970,-150,80,270,500,,63.319,-161.459,0.0225456252027555,1.53191317359916
20776,4067,AK6334915125520150622,IRON,2015,6,22,Wildfire,6EC37DC5-48F1-401D-A007-EB6A7D2D3E7E,26372,MTBS,Extended,20150622,807001620140730,807001620160617,,78,11,-970,-150,100,364,660,,63.359,-151.287,0.0029502195397373,0.568823107206538
20777,123988,AK6341815761120150620,BLAZO,2015,6,20,Wildfire,0DA7352D-892C-4FDB-AAC0-64BF46A74005,26332,MTBS,Initial,20150620,807501620150618,807501620150805,,-2,16,-970,-150,50,308,590,Fire included GROUCH and DISHNA RIVER fires.,63.479,-157.485,0.0902951057321267,5.70636126550294
20778,8955,AK6343315367220150624,PONTAG CREEK,2015,6,24,Wildfire,F38A0174-339F-49D9-B952-D331378771A6,25971,MTBS,Extended,20150624,807301520130614,807201620160615,,-25,21,-970,-150,50,259,500,,63.4,-153.701,0.00650672102803228,0.724599224662053
20779,1354,AK6344414415620150620,ROBINSON FORK,2015,6,20,Wildfire,6DA817C3-790F-4F77-BCB4-C588A539B1B2,26107,MTBS,Extended,20150620,806601620140904,806601620160808,806601620150907,34,15,-970,-150,50,302,580,,63.426,-144.167,0.00098480035594558,0.274160266443085
20780,2939,AK6349015334420150712,BEAR ISLAND LAKE,2015,7,12,Wildfire,792E3FB0-4B88-4587-BAC1-3FD2576AB1A2,25978,MTBS,Extended,20150712,807301520130614,807301520160622,,-57,12,-970,-150,10,244,500,,63.506,-153.317,0.00214330697743449,0.56261714914336
20781,62564,AK6356715376720150626,RUNGUN CREEK,2015,6,26,Wildfire,B409DDCD-C51E-4AD8-B2B4-22AD11EE0B69,25969,MTBS,Extended,20150626,807301520130614,807201620160615,,-44,17,-970,-150,50,259,500,,63.565,-153.687,0.0457053946384324,3.10603341234109
20782,7222,AK6358714204520150622,DENNISON FORK,2015,6,22,Wildfire,8B70DFBF-B5D3-41BC-8226-F2492439CABE,26653,MTBS,Extended,20150622,806501520130825,806501520160902,,42,47,-970,-150,120,339,600,,63.58,-142.017,0.00527980844784325,1.50098910911747
20783,5322,AK6362615097920150623,BEAR CREEK,2015,6,23,Wildfire,3B8D14FF-C5B5-4D95-A8BE-D94E8BE3B293,26383,MTBS,Extended,20150623,807101520140907,807101520160827,,-47,19,-970,-150,40,277,540,,63.652,-150.992,0.00390007108606434,0.588666347914573
20784,124676,AK6362915301920150705,MUNSATLI 2,2015,7,5,Wildfire,9CCB7D2A-0EEA-4FA1-8C3B-9AFBCCFC1282,25974,MTBS,Extended,20150705,807301520130614,807201520160615,,-41,20,-970,-150,50,270,520,,63.726,-152.879,0.0915630738289616,6.12380427958346
20785,8858,AK6368015788320150627,WAPOO,2015,6,27,Wildfire,C3C45B50-48EE-4E32-901E-5FD465645D60,26066,MTBS,Extended,20150627,807601520140926,807501520160908,,1,35,-970,-150,20,297,590,,63.675,-157.859,0.00649712217259184,0.788896436611486
20786,23381,AK6370915364420150626,EDEN CREEK,2015,6,26,Wildfire,5B1D0CD1-74D9-434D-B260-4052E5CD97D0,25967,MTBS,Extended,20150626,807301520130614,807201520160615,807201520150901,-40,13,-970,-150,50,259,500,,63.765,-153.633,0.0171974932333571,1.29831732739421
20787,2644,AK6378515937720150620,HONEYMOON,2015,6,20,Wildfire,531D8688-2CED-4FDA-B7C2-94B8D3FD9FD2,26082,MTBS,Extended,20150620,807501620150618,807701520160602,,36,10,-970,-150,90,312,570,,63.775,-159.344,0.00194622653711051,0.488903701734416
20788,8444,AK6380815802720150625,LITTLE MUD RIVER,2015,6,25,Wildfire,CAE00238-2732-4DE6-9BA2-0D0DA2B49617,26062,MTBS,Extended,20150625,807601520140926,807501520160908,,-16,28,-970,-150,50,292,560,,63.84,-158.04,0.00622900525615848,0.595393427328177
20789,48196,AK6380915201720150625,CARLSON LAKE,2015,6,25,Wildfire,4F21C4D1-9615-4E72-946F-B561113E999B,26395,MTBS,Initial,20150625,807101520140907,807201520150901,,-14,34,-970,-150,60,398,750,Fire perimeter provided by NPS as part of burn severity data request to EROS.,63.764,-151.941,0.0355110906748593,3.24892130451432
20790,10818,AK6383315238320150627,DEEP CREEK,2015,6,27,Wildfire,5E782FF1-06B4-49A9-B262-8FADF694D607,25973,MTBS,Extended,20150627,807101520130616,807201520160615,807201520150901,-29,13,-970,-150,50,259,500,,63.813,-152.41,0.00797301266487112,0.961681093391292
20791,1115,AK6383315453320150626,BRIDGE,2015,6,26,Wildfire,CF5F8F6B-6468-4FDC-B47E-498262D4A461,25994,MTBS,Extended,20150626,807201520130826,807201520160903,,90,24,-970,-150,120,345,610,,63.847,-154.551,0.000823124742864909,0.235422570466918
20792,2469,AK6386815097020150625,MOOSE CREEK,2015,6,25,Wildfire,E7F0314B-0540-43C5-A777-F7EEACFE3461,26388,MTBS,Initial,20150625,807101520140705,807101520150724,,-59,22,-970,-150,40,277,540,,63.853,-150.981,0.00182307147053037,0.588899298800177
20793,10974,AK6388415351220150705,SETHKOKNA 2,2015,7,5,Wildfire,570613BD-E6C6-4416-97BD-DAB07B064569,25950,MTBS,Extended,20150705,807301520130614,807201520160615,807201520150901,-38,15,-970,-150,50,254,490,,63.894,-153.459,0.00811020906801542,1.09907998152108
20794,31621,AK6390615441720150623,OUR CREEK,2015,6,23,Wildfire,09DEB6C6-C26C-4D27-A507-6CCCB31ED928,25993,MTBS,Extended,20150623,807201520130623,807201520160615,,-13,25,-970,-150,50,270,520,,63.964,-154.382,0.0234346982856524,1.95238150665466
20795,8577,AK6396214485020150617,HEALY LAKE,2015,6,17,Wildfire,72498FEB-FEFA-4BF2-9B37-CA55BC3A0397,25917,MTBS,Extended,20150617,806801520140918,806701520160831,,-31,26,-970,-150,50,275,530,,63.932,-144.832,0.00634879510569897,0.588753419862367
20796,15634,AK6397815593220150627,POORMAN CREEK,2015,6,27,Wildfire,1EFF73DE-988C-44F5-BF29-9247DB270A21,26026,MTBS,Extended,20150627,807301520150620,807301520160622,,49,13,-970,-150,100,321,580,,64.038,-155.959,0.0116143506697411,1.51602604488312
20797,46474,AK6400215979220150620,OLD WOMAN,2015,6,20,Wildfire,976457C1-C6FC-47E0-BD4C-02C3BC7A5DB1,26083,MTBS,Extended,20150620,807701520150616,807701520160704,,-43,19,-970,-150,50,265,510,,64.043,-159.591,0.0345250434338097,2.79261157868012
20798,10147,AK6403016069720150621,EGAVIK,2015,6,21,Wildfire,2BDF638E-9DB9-4610-BE82-73490F043D39,26088,MTBS,Extended,20150621,807701520150616,807701520160704,,-18,13,-970,-150,50,313,600,,64.023,-160.585,0.00753510229586282,0.927339760982078
20799,21968,AK6403515783820150623,ILLINOIS MINE,2015,6,23,Wildfire,369CFB0A-8EF7-46A7-B4BE-570406D41101,26058,MTBS,Extended,20150623,807601520140926,807501520160908,,-14,17,-970,-150,50,313,600,,64.064,-157.863,0.0163289579501325,1.85015734303158
20800,17389,AK6403715564820150622,GENTIAN,2015,6,22,Wildfire,7F945552-F52C-4B1A-812F-DCED49E481E8,26028,MTBS,Extended,20150622,807301520150620,807301520160622,,18,10,-970,-150,50,292,560,,64.05,-155.644,0.0129193279248937,1.51972885246776
20801,15916,AK6406715413320150623,SULUKNA,2015,6,23,Wildfire,3C81DE6B-3F81-4C35-826C-BC7BA0FE25D9,25989,MTBS,Extended,20150623,807301520150620,807301520160622,,-4,15,-970,-150,50,270,520,,64.069,-154.154,0.0118351279431264,1.22441622720427
20802,100672,AK6410015373320150620,SEA,2015,6,20,Wildfire,8D780443-1D2B-4CBD-A5B4-DAD2ABF335B3,25986,MTBS,Extended,20150620,807301520130614,807301520160622,,-75,17,-970,-150,10,234,480,,64.013,-153.718,0.0747791105015089,4.44531531799154
20803,9222,AK6411814450920150617,MICHIGAN CREEK,2015,6,17,Wildfire,E63D7CEC-7D73-4518-B214-D36148A7598C,26378,MTBS,Initial,20150617,806601520140904,806601520150907,,53,18,-970,-150,50,346,660,,64.131,-144.467,0.00687548008205346,1.04288542854401
20804,4375,AK6415315511720150621,LITTLE MOOSE,2015,6,21,Wildfire,6D8B642F-6988-4D73-ADE9-8C8730B8C4DB,26034,MTBS,Extended,20150621,807301520140804,807401520160816,,-44,13,-970,-150,50,275,530,,64.168,-155.122,0.00326507406082213,0.738907768374428
20805,22514,AK6417215667620150622,BARE MT,2015,6,22,Wildfire,B7C25EA0-3C6B-4B8F-9C79-06CD5C260143,26055,MTBS,Extended,20150622,807401520140811,807401520160816,,-37,12,-970,-150,50,302,580,,64.182,-156.588,0.0168119528206273,2.06957371137145
20806,39211,AK6423315310020150626,SETHKOKNA,2015,6,26,Wildfire,8ADC6B17-CA35-452A-82AB-55251B858E3C,25948,MTBS,Extended,20150626,807301520130614,807201520160615,807201520150901,-32,17,-970,-150,50,275,530,,64.258,-153.116,0.0293481933570949,2.22420344644633
20807,37977,AK6426114723720150621,BLAIR,2015,6,21,Wildfire,8BD17075-D8D0-44C7-B4B5-BA09F1F1BBF2,25913,MTBS,Extended,20150621,806901520140808,806901520160829,,5,32,-970,-150,80,281,520,,64.243,-147.203,0.0284308858488941,1.99178352948482
20808,8623,AK6426414944620150621,KOBE,2015,6,21,Wildfire,FF317E11-A4B6-46D5-A46E-88B8E782E30E,26208,MTBS,Extended,20150621,807001520140730,807001520160617,,56,17,-970,-150,50,324,620,,64.272,-149.401,0.00645959364367211,0.625240259139983
20809,1445,AK6428715665520150622,KETLKEDE,2015,6,22,Wildfire,4A96424C-0C5E-4E45-A4D1-E2918474C78F,26057,MTBS,Extended,20150622,807401520140811,807401520160816,,3,13,-970,-150,50,292,560,,64.266,-156.639,0.0010827926670139,0.371247746075143
20810,11801,AK6429315747920150622,CAMP CREEK,2015,6,22,Wildfire,81A5DFD3-6200-43D8-A79A-BE64F412D3E1,26061,MTBS,Extended,20150622,807601520140926,807501520160908,,7,41,-970,-150,50,302,580,,64.351,-157.495,0.00886242895591851,0.956696784089309
20811,2377,AK6433215666120150623,KETLKEDE 3,2015,6,23,Wildfire,A05B1D88-4F98-4A33-9720-D912FE3BBE7C,26049,MTBS,Extended,20150623,807601520140926,807501520160908,,12,25,-970,-150,50,313,600,,64.319,-156.623,0.00178401391746846,0.665117758940377
20812,39035,AK6434215802720150622,YUKON CREEK,2015,6,22,Wildfire,10BE40A1-1CF9-46E4-A75A-0F7A2F7EDB16,26071,MTBS,Extended,20150622,807501520150618,807601520160713,,-41,18,-970,-150,50,259,500,,64.3,-158.079,0.0292797941137351,2.69510716552379
